,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
0.02,0.9804,0.0196,0.0004,0.9804,0.9608,0.02,0.0196,0.9803999999999999,0.02,0.9604,0.9608,0.0396,0.0004,0.9804,0.9996,0.0004,0.9996
0.04,0.9616,0.038400000000000004,0.0016,0.9616,0.9232,0.04,0.038400000000000004,0.9616,0.04,0.9216,0.9232,0.0784,0.0016,0.9616,0.9984,0.0016,0.9984
0.06,0.9436,0.0564,0.0036,0.9436,0.8872,0.06,0.0564,0.9436,0.06,0.8836,0.8872,0.11639999999999999,0.0036,0.9436,0.9964,0.0036,0.9964
0.08,0.9264,0.0736,0.0064,0.9264,0.8528,0.08,0.0736,0.9264,0.08,0.8464,0.8528,0.15360000000000001,0.0064,0.9264,0.9936,0.0064,0.9936
0.1,0.91,0.09,0.010000000000000002,0.91,0.8200000000000001,0.1,0.09,0.91,0.1,0.81,0.8200000000000001,0.19,0.010000000000000002,0.91,0.99,0.010000000000000002,0.99
0.12,0.8944,0.1056,0.0144,0.8944,0.7888,0.12,0.1056,0.8944,0.12,0.7744,0.7888,0.2256,0.0144,0.8944,0.9856,0.0144,0.9856
0.14,0.8795999999999999,0.12040000000000001,0.019600000000000003,0.8795999999999999,0.7592,0.14,0.12040000000000001,0.8796,0.14,0.7396,0.7592,0.2604,0.019600000000000003,0.8795999999999999,0.9804,0.019600000000000003,0.9804
0.16,0.8656,0.1344,0.0256,0.8656,0.7312000000000001,0.16,0.1344,0.8656,0.16,0.7056,0.7312000000000001,0.2944,0.0256,0.8656,0.9744,0.0256,0.9744
0.18,0.8524,0.1476,0.0324,0.8524,0.7048,0.18,0.1476,0.8524,0.18,0.6724,0.7048,0.3276,0.0324,0.8524,0.9676,0.0324,0.9676
0.2,0.84,0.16,0.04000000000000001,0.84,0.6799999999999999,0.2,0.16,0.8400000000000001,0.2,0.64,0.6799999999999999,0.36,0.04000000000000001,0.84,0.96,0.04000000000000001,0.96
