,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.0,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.02,0.039200,0.960400,0.960400,0.039600,0.000400,0.999600,0.999600,0.000400,0.980400,0.019600,0.019600,0.980400,0.980400,0.019600,0.019600,0.980400,0.999600
0.04,0.076800,0.921600,0.921600,0.078400,0.001600,0.998400,0.998400,0.001600,0.961600,0.038400,0.038400,0.961600,0.961600,0.038400,0.038400,0.961600,0.998400
0.06,0.112800,0.883600,0.883600,0.116400,0.003600,0.996400,0.996400,0.003600,0.943600,0.056400,0.056400,0.943600,0.943600,0.056400,0.056400,0.943600,0.996400
0.08,0.147200,0.846400,0.846400,0.153600,0.006400,0.993600,0.993600,0.006400,0.926400,0.073600,0.073600,0.926400,0.926400,0.073600,0.073600,0.926400,0.993600
0.1,0.180000,0.810000,0.810000,0.190000,0.010000,0.990000,0.990000,0.010000,0.910000,0.090000,0.090000,0.910000,0.910000,0.090000,0.090000,0.910000,0.990000
0.12,0.211200,0.774400,0.774400,0.225600,0.014400,0.985600,0.985600,0.014400,0.894400,0.105600,0.105600,0.894400,0.894400,0.105600,0.105600,0.894400,0.985600
0.14,0.240800,0.739600,0.739600,0.260400,0.019600,0.980400,0.980400,0.019600,0.879600,0.120400,0.120400,0.879600,0.879600,0.120400,0.120400,0.879600,0.980400
0.16,0.268800,0.705600,0.705600,0.294400,0.025600,0.974400,0.974400,0.025600,0.865600,0.134400,0.134400,0.865600,0.865600,0.134400,0.134400,0.865600,0.974400
0.18,0.295200,0.672400,0.672400,0.327600,0.032400,0.967600,0.967600,0.032400,0.852400,0.147600,0.147600,0.852400,0.852400,0.147600,0.147600,0.852400,0.967600
0.2,0.320000,0.640000,0.640000,0.360000,0.040000,0.960000,0.960000,0.040000,0.840000,0.160000,0.160000,0.840000,0.840000,0.160000,0.160000,0.840000,0.960000
0.22,0.343200,0.608400,0.608400,0.391600,0.048400,0.951600,0.951600,0.048400,0.828400,0.171600,0.171600,0.828400,0.828400,0.171600,0.171600,0.828400,0.951600
0.24,0.364800,0.577600,0.577600,0.422400,0.057600,0.942400,0.942400,0.057600,0.817600,0.182400,0.182400,0.817600,0.817600,0.182400,0.182400,0.817600,0.942400
0.26,0.384800,0.547600,0.547600,0.452400,0.067600,0.932400,0.932400,0.067600,0.807600,0.192400,0.192400,0.807600,0.807600,0.192400,0.192400,0.807600,0.932400
0.28,0.403200,0.518400,0.518400,0.481600,0.078400,0.921600,0.921600,0.078400,0.798400,0.201600,0.201600,0.798400,0.798400,0.201600,0.201600,0.798400,0.921600
0.3,0.420000,0.490000,0.490000,0.510000,0.090000,0.910000,0.910000,0.090000,0.790000,0.210000,0.210000,0.790000,0.790000,0.210000,0.210000,0.790000,0.910000
0.32,0.435200,0.462400,0.462400,0.537600,0.102400,0.897600,0.897600,0.102400,0.782400,0.217600,0.217600,0.782400,0.782400,0.217600,0.217600,0.782400,0.897600
0.34,0.448800,0.435600,0.435600,0.564400,0.115600,0.884400,0.884400,0.115600,0.775600,0.224400,0.224400,0.775600,0.775600,0.224400,0.224400,0.775600,0.884400
0.36,0.460800,0.409600,0.409600,0.590400,0.129600,0.870400,0.870400,0.129600,0.769600,0.230400,0.230400,0.769600,0.769600,0.230400,0.230400,0.769600,0.870400
0.38,0.471200,0.384400,0.384400,0.615600,0.144400,0.855600,0.855600,0.144400,0.764400,0.235600,0.235600,0.764400,0.764400,0.235600,0.235600,0.764400,0.855600
0.4,0.480000,0.360000,0.360000,0.640000,0.160000,0.840000,0.840000,0.160000,0.760000,0.240000,0.240000,0.760000,0.760000,0.240000,0.240000,0.760000,0.840000
0.42,0.487200,0.336400,0.336400,0.663600,0.176400,0.823600,0.823600,0.176400,0.756400,0.243600,0.243600,0.756400,0.756400,0.243600,0.243600,0.756400,0.823600
0.44,0.492800,0.313600,0.313600,0.686400,0.193600,0.806400,0.806400,0.193600,0.753600,0.246400,0.246400,0.753600,0.753600,0.246400,0.246400,0.753600,0.806400
0.46,0.496800,0.291600,0.291600,0.708400,0.211600,0.788400,0.788400,0.211600,0.751600,0.248400,0.248400,0.751600,0.751600,0.248400,0.248400,0.751600,0.788400
0.48,0.499200,0.270400,0.270400,0.729600,0.230400,0.769600,0.769600,0.230400,0.750400,0.249600,0.249600,0.750400,0.750400,0.249600,0.249600,0.750400,0.769600
0.5,0.500000,0.250000,0.250000,0.750000,0.250000,0.750000,0.750000,0.250000,0.750000,0.250000,0.250000,0.750000,0.750000,0.250000,0.250000,0.750000,0.750000
0.52,0.499200,0.230400,0.230400,0.769600,0.270400,0.729600,0.729600,0.270400,0.750400,0.249600,0.249600,0.750400,0.750400,0.249600,0.249600,0.750400,0.769600
0.54,0.496800,0.211600,0.211600,0.788400,0.291600,0.708400,0.708400,0.291600,0.751600,0.248400,0.248400,0.751600,0.751600,0.248400,0.248400,0.751600,0.788400
0.56,0.492800,0.193600,0.193600,0.806400,0.313600,0.686400,0.686400,0.313600,0.753600,0.246400,0.246400,0.753600,0.753600,0.246400,0.246400,0.753600,0.806400
0.58,0.487200,0.176400,0.176400,0.823600,0.336400,0.663600,0.663600,0.336400,0.756400,0.243600,0.243600,0.756400,0.756400,0.243600,0.243600,0.756400,0.823600
0.6,0.480000,0.160000,0.160000,0.840000,0.360000,0.640000,0.640000,0.360000,0.760000,0.240000,0.240000,0.760000,0.760000,0.240000,0.240000,0.760000,0.840000
0.62,0.471200,0.144400,0.144400,0.855600,0.384400,0.615600,0.615600,0.384400,0.764400,0.235600,0.235600,0.764400,0.764400,0.235600,0.235600,0.764400,0.855600
0.64,0.460800,0.129600,0.129600,0.870400,0.409600,0.590400,0.590400,0.409600,0.769600,0.230400,0.230400,0.769600,0.769600,0.230400,0.230400,0.769600,0.870400
0.66,0.448800,0.115600,0.115600,0.884400,0.435600,0.564400,0.564400,0.435600,0.775600,0.224400,0.224400,0.775600,0.775600,0.224400,0.224400,0.775600,0.884400
0.68,0.435200,0.102400,0.102400,0.897600,0.462400,0.537600,0.537600,0.462400,0.782400,0.217600,0.217600,0.782400,0.782400,0.217600,0.217600,0.782400,0.897600
0.7000000000000001,0.420000,0.090000,0.090000,0.910000,0.490000,0.510000,0.510000,0.490000,0.790000,0.210000,0.210000,0.790000,0.790000,0.210000,0.210000,0.790000,0.910000
0.72,0.403200,0.078400,0.078400,0.921600,0.518400,0.481600,0.481600,0.518400,0.798400,0.201600,0.201600,0.798400,0.798400,0.201600,0.201600,0.798400,0.921600
0.74,0.384800,0.067600,0.067600,0.932400,0.547600,0.452400,0.452400,0.547600,0.807600,0.192400,0.192400,0.807600,0.807600,0.192400,0.192400,0.807600,0.932400
0.76,0.364800,0.057600,0.057600,0.942400,0.577600,0.422400,0.422400,0.577600,0.817600,0.182400,0.182400,0.817600,0.817600,0.182400,0.182400,0.817600,0.942400
0.78,0.343200,0.048400,0.048400,0.951600,0.608400,0.391600,0.391600,0.608400,0.828400,0.171600,0.171600,0.828400,0.828400,0.171600,0.171600,0.828400,0.951600
0.8,0.320000,0.040000,0.040000,0.960000,0.640000,0.360000,0.360000,0.640000,0.840000,0.160000,0.160000,0.840000,0.840000,0.160000,0.160000,0.840000,0.960000
0.8200000000000001,0.295200,0.032400,0.032400,0.967600,0.672400,0.327600,0.327600,0.672400,0.852400,0.147600,0.147600,0.852400,0.852400,0.147600,0.147600,0.852400,0.967600
