,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y',Row Max
0.0,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.05,0.095000,0.902500,0.902500,0.097500,0.002500,0.997500,0.997500,0.002500,0.952500,0.047500,0.047500,0.952500,0.952500,0.047500,0.047500,0.952500,0.997500
0.1,0.180000,0.810000,0.810000,0.190000,0.010000,0.990000,0.990000,0.010000,0.910000,0.090000,0.090000,0.910000,0.910000,0.090000,0.090000,0.910000,0.990000
0.15000000000000002,0.255000,0.722500,0.722500,0.277500,0.022500,0.977500,0.977500,0.022500,0.872500,0.127500,0.127500,0.872500,0.872500,0.127500,0.127500,0.872500,0.977500
0.2,0.320000,0.640000,0.640000,0.360000,0.040000,0.960000,0.960000,0.040000,0.840000,0.160000,0.160000,0.840000,0.840000,0.160000,0.160000,0.840000,0.960000
0.25,0.375000,0.562500,0.562500,0.437500,0.062500,0.937500,0.937500,0.062500,0.812500,0.187500,0.187500,0.812500,0.812500,0.187500,0.187500,0.812500,0.937500
0.30000000000000004,0.420000,0.490000,0.490000,0.510000,0.090000,0.910000,0.910000,0.090000,0.790000,0.210000,0.210000,0.790000,0.790000,0.210000,0.210000,0.790000,0.910000
0.35000000000000003,0.455000,0.422500,0.422500,0.577500,0.122500,0.877500,0.877500,0.122500,0.772500,0.227500,0.227500,0.772500,0.772500,0.227500,0.227500,0.772500,0.877500
0.4,0.480000,0.360000,0.360000,0.640000,0.160000,0.840000,0.840000,0.160000,0.760000,0.240000,0.240000,0.760000,0.760000,0.240000,0.240000,0.760000,0.840000
0.45,0.495000,0.302500,0.302500,0.697500,0.202500,0.797500,0.797500,0.202500,0.752500,0.247500,0.247500,0.752500,0.752500,0.247500,0.247500,0.752500,0.797500
0.5,0.500000,0.250000,0.250000,0.750000,0.250000,0.750000,0.750000,0.250000,0.750000,0.250000,0.250000,0.750000,0.750000,0.250000,0.250000,0.750000,0.750000
0.55,0.495000,0.202500,0.202500,0.797500,0.302500,0.697500,0.697500,0.302500,0.752500,0.247500,0.247500,0.752500,0.752500,0.247500,0.247500,0.752500,0.797500
0.6000000000000001,0.480000,0.160000,0.160000,0.840000,0.360000,0.640000,0.640000,0.360000,0.760000,0.240000,0.240000,0.760000,0.760000,0.240000,0.240000,0.760000,0.840000
0.65,0.455000,0.122500,0.122500,0.877500,0.422500,0.577500,0.577500,0.422500,0.772500,0.227500,0.227500,0.772500,0.772500,0.227500,0.227500,0.772500,0.877500
0.7000000000000001,0.420000,0.090000,0.090000,0.910000,0.490000,0.510000,0.510000,0.490000,0.790000,0.210000,0.210000,0.790000,0.790000,0.210000,0.210000,0.790000,0.910000
0.75,0.375000,0.062500,0.062500,0.937500,0.562500,0.437500,0.437500,0.562500,0.812500,0.187500,0.187500,0.812500,0.812500,0.187500,0.187500,0.812500,0.937500
0.8,0.320000,0.040000,0.040000,0.960000,0.640000,0.360000,0.360000,0.640000,0.840000,0.160000,0.160000,0.840000,0.840000,0.160000,0.160000,0.840000,0.960000
0.8500000000000001,0.255000,0.022500,0.022500,0.977500,0.722500,0.277500,0.277500,0.722500,0.872500,0.127500,0.127500,0.872500,0.872500,0.127500,0.127500,0.872500,0.977500
0.9,0.180000,0.010000,0.010000,0.990000,0.810000,0.190000,0.190000,0.810000,0.910000,0.090000,0.090000,0.910000,0.910000,0.090000,0.090000,0.910000,0.990000
0.9500000000000001,0.095000,0.002500,0.002500,0.997500,0.902500,0.097500,0.097500,0.902500,0.952500,0.047500,0.047500,0.952500,0.952500,0.047500,0.047500,0.952500,0.997500
1.0,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
Column Max,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.250000,0.250000,1.000000,1.000000,0.250000,0.250000,1.000000,1.000000
